c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_types_pfk;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_pv_r;un_kW;2035;ep_capex;1699;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2036;ep_capex;1680;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2037;ep_capex;1662;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2038;ep_capex;1644;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2039;ep_capex;1626;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2040;ep_capex;1609;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2041;ep_capex;1591;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2042;ep_capex;1573;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2043;ep_capex;1556;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2044;ep_capex;1539;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2045;ep_capex;1522;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2046;ep_capex;1505;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2047;ep_capex;1488;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2048;ep_capex;1472;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2049;ep_capex;1455;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2050;ep_capex;1438;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2019;ep_capex;750;un_eur20p_kW;S1_PV_low_3_to10kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;725;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2021;ep_capex;703;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2022;ep_capex;682;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2023;ep_capex;662;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2024;ep_capex;643;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2025;ep_capex;625;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2026;ep_capex;608;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2027;ep_capex;592;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2028;ep_capex;577;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2029;ep_capex;563;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2030;ep_capex;549;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2031;ep_capex;536;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2032;ep_capex;524;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2033;ep_capex;513;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2034;ep_capex;501;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2035;ep_capex;490;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2036;ep_capex;480;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2037;ep_capex;469;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
