c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_bat_li;un_kWh;2027;488;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2028;450;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2029;413;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2030;375;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2031;361;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2032;347;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2033;333;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2034;320;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2035;306;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2036;292;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2037;278;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2038;264;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2039;250;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2040;236;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
