;injection_pessimistic;injection_optimistic;biomethan;electricity_optimistic;electricity_pessimistic;industry_3.1_pessimistic;industry_3.1_optimistic;industry_10_pessimistic;industry_10_optimistic;Market price_high_w/o distribution;Market price_low_w/o distribution;Market price_high_w/ distribution;Market price_low_w/ distribution;mobility_pessimistic;mobility_optimistic;Mobility_LKW;Mobility_LKW;Mobility_PKW (low efficient improvements);Mobility_PKW (low efficient improvements);Mobility_LKW_EV;Mobility_LKW_EV;Mobility_LKW_EV;Mobility_PKW_EV;Mobility_PKW_EV;Mobility_PKW_EV;Mobility_LKW - minus 50% in 2050 - high;Mobility_LKW - minus 50% in 2050 - low;Wholesales price;Wholesales price
# Unit; [€ct/kWh] ; [€ct/kWh] ;; [€ct/kWh] ; [€ct/kWh] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ;;; [€ct/kWh] ; [€ct/kWh] 
2018; Optimistic ; Pessimistic ;; Pessimistic ; Optimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; High ; Low ; Pessimistic ; Realistic ; Optimistic ; Pessimistic ; Realistic ; Optimistic ;;; Optimistic ; Pessimistic 
2049;8.44;2.77;7.19;13.32;26.15;8.27;6.57;8.68;6.90;8.27;6.57;8.68;6.90;12.31;9.43;12.39;8.97;12.31;9.43;10.11;8.26;6.40;12.36;;8.43;11.33;8.12;6.66;13.07
2050;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;;8.46;11.51;8.14;6.71;13.39
2051;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2052;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2053;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2054;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2055;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2056;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2057;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2058;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2059;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2060;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2061;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2062;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2063;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2064;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2065;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2066;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2067;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2068;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2069;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2070;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2071;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2072;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2073;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2074;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2075;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2076;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2077;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2078;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2079;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
2080;8.95;2.78;7.00;13.43;26.78;8.50;6.65;8.92;6.98;8.50;6.65;8.92;6.98;12.63;9.49;12.66;8.95;12.63;9.49;10.29;8.36;6.44;12.55;0.00;8.46;11.51;8.14;6.71;13.39
