,capacity_optimistic,annex_optimistic,capacity_pessimistic,annex_pessimistic,capacity_max,annex_max,capacity_min,annex_min,capacity_mean,annex_mean
2037,0.16566692110852507,0.02336113670583273,0.16566692110852507,0.02336113670583273,0.2238127862229093,0.04543775214221071,0.16566692110852507,0.02336113670583273,0.16566692110852507,0.02336113670583273
2038,0.19152385195614954,0.02585693084762447,0.19152385195614954,0.02585693084762447,0.2814456735784581,0.057632887355548834,0.19152385195614954,0.02585693084762447,0.19152385195614954,0.02585693084762447
2039,0.22028942677548247,0.028765574819332923,0.22028942677548247,0.028765574819332923,0.35557285311980336,0.07412717954134523,0.22028942677548247,0.028765574819332923,0.22028942677548247,0.028765574819332923
2040,0.2524876355851131,0.032198208809630646,0.2524876355851131,0.032198208809630646,0.4523959172022639,0.09682306408246055,0.2524876355851131,0.032198208809630646,0.2524876355851131,0.032198208809630646
2041,0.2887211809132433,0.03623354532813017,0.2887211809132433,0.03623354532813017,0.5811676784160572,0.1287717612137933,0.2887211809132433,0.03623354532813017,0.2887211809132433,0.03623354532813017
2042,0.3296574455052776,0.04093626459203431,0.3296574455052776,0.04093626459203431,0.7544311482371504,0.1732634698210932,0.3296574455052776,0.04093626459203431,0.3296574455052776,0.04093626459203431
2043,0.3763976654358006,0.04674021993052302,0.3760293510493823,0.0463719055441047,0.990522601806019,0.23609145356886863,0.3760293510493823,0.0463719055441047,0.3760293510493823,0.0463719055441047
2044,0.43132302484803026,0.054925359412229646,0.428644711854971,0.05261536080558871,1.3159412775411206,0.3254186757351015,0.428644711854971,0.05261536080558871,0.428644711854971,0.05261536080558871
2045,0.49615840006408335,0.06483537521605309,0.48839961620357636,0.059754904348605364,1.7685626904221037,0.4526214128809831,0.48839961620357636,0.059754904348605364,0.48839961620357636,0.059754904348605364
2046,0.5729803487308132,0.07682194866672981,0.5562936014052668,0.06789398520169049,2.401976601450661,0.6334139110285575,0.5562936014052668,0.06789398520169049,0.5562936014052668,0.06789398520169049
2047,0.6641643699902713,0.09118402125945813,0.6334457610771036,0.07715215967183675,3.2699745460256855,0.8679979445750243,0.6334457610771036,0.07715215967183675,0.6334457610771036,0.07715215967183675
2048,0.7723851185379127,0.10822074854764141,0.7211115665881155,0.08766580551101189,4.4298433724308754,1.15986882640519,0.7211115665881155,0.08766580551101189,0.7211115665881155,0.08766580551101189
2049,0.8789463025674064,0.10656118402949366,0.8207004156909607,0.09958884910284527,5.962387324439738,1.5325439520088624,0.8207004156909607,0.09958884910284527,0.8207004156909607,0.09958884910284527
2050,0.9999256058845326,0.12097930331712625,0.9337939538967719,0.11309353820581114,7.956815379129154,1.9944280546894158,0.9337939538967719,0.11309353820581114,0.9337939538967719,0.11309353820581114
