,mobility_AEL_3.1_pessimistic_full_grid,mobility_AEL_3.1_pessimistic_energy_intensive_grid,mobility_AEL_3.1_pessimistic_full_self-consumption,mobility_AEL_3.1_optimistic_full_grid,mobility_AEL_3.1_optimistic_energy_intensive_grid,mobility_AEL_3.1_optimistic_full_self-consumption,mobility_AEL_10_pessimistic_full_grid,mobility_AEL_10_pessimistic_energy_intensive_grid,mobility_AEL_10_pessimistic_full_self-consumption,mobility_AEL_10_optimistic_full_grid,mobility_AEL_10_optimistic_energy_intensive_grid,mobility_AEL_10_optimistic_full_self-consumption,mobility_PEM_3.1_pessimistic_full_grid,mobility_PEM_3.1_pessimistic_energy_intensive_grid,mobility_PEM_3.1_pessimistic_full_self-consumption,mobility_PEM_3.1_optimistic_full_grid,mobility_PEM_3.1_optimistic_energy_intensive_grid,mobility_PEM_3.1_optimistic_full_self-consumption,mobility_PEM_10_pessimistic_full_grid,mobility_PEM_10_pessimistic_energy_intensive_grid,mobility_PEM_10_pessimistic_full_self-consumption,mobility_PEM_10_optimistic_full_grid,mobility_PEM_10_optimistic_energy_intensive_grid,mobility_PEM_10_optimistic_full_self-consumption
2033,0.0,0.0,0.05945292514864797,0.0,0.04052284876106982,0.3109824534585741,0.0,0.0,0.026730106385818297,0.0,-0.01710598875719338,0.19505000518213422,0.0,0.0,-0.003159181640059572,0.0,-0.03908761930336946,0.2042818251247429,0.0,0.0,-0.0193477870345935,0.0,0.0,0.15458497602417465
2034,0.0,0.0,0.06625378215170041,0.0,0.036492587559004974,0.3104293757695342,0.0,0.0,0.032867757505337325,0.0,-0.019303044112862322,0.19578846011210138,0.0,0.0,0.007246916419701099,0.0,-0.03518927527752613,0.21108442259952653,0.0,0.0,-0.009654452005898873,0.0,0.0,0.15790801685456435
2035,0.0,0.0,0.07378543431432316,0.0,0.03801787153871383,0.3213002465263879,0.0,0.0,0.03936076742896244,0.0,-0.0179859693933051,0.20183037118938385,0.0,0.0,0.018014233659201295,0.0,-0.028252838290975246,0.22500885994720798,0.0,0.0,7.149279232132599e-05,0.0,0.0,0.16493818437594387
2036,0.0,0.0,0.08056266496444753,0.0,0.039208536043300324,0.3314629438018808,0.0,0.0,0.04533722770556681,0.0,-0.017116863021950368,0.207575818645668,0.0,0.0,0.0282251903065438,0.0,-0.02209350649449293,0.23909943433824088,0.0,0.0,0.009175865710436604,0.0,0.0,0.17175574330481758
2037,0.0,0.0,0.08784138498113747,0.0,0.040407707240270874,0.3412574895301481,0.0,0.0,0.05163895468504931,0.0,-0.0163089745338989,0.21321497461609162,0.0,0.0,0.03864307847163029,0.0,-0.01618908880115788,0.2535980019868995,0.0,0.0,0.018216425593246877,0.0,0.0,0.17854050894601592
2038,0.0,0.0,0.09558298262538534,0.0,0.04174912894662719,0.3511461695314271,0.0,0.0,0.058149391706968645,0.0,-0.015360464021029085,0.21897538944966866,0.0,0.0,0.04910360295961924,0.0,-0.010884598374651833,0.2687142565395486,0.0,0.0,0.02738060465406522,0.0,0.0,0.18552062891812704
2039,0.0,0.0,0.10381027512158703,0.0,0.04322066386047485,0.36114704108930984,0.0,0.0,0.06491632592959151,0.0,-0.014263521887495911,0.2248962744979357,0.0,0.0,0.05964082823001937,0.0,-0.005689714649054656,0.2845792159198819,0.0,0.0,0.03632799507373741,0.0,0.0,0.1926039529979906
2040,0.0,0.0,0.11329355400356533,0.0,0.04534391814040095,0.3749013896578819,0.0,0.0,0.07258234037906108,0.0,-0.012666589394670469,0.23251930950677013,0.0,0.0,0.07132924652679229,0.0,-0.00014417529041232946,0.3037433168351762,0.0,0.0,0.04575156788362511,0.0,0.0,0.20900246998978433
2041,0.0,0.0,0.12342988738605154,0.0,0.0482297775442071,0.38953646624698823,0.0,0.0,0.0803658911457259,0.0,-0.010642634500840131,0.24055936990499016,0.0,0.0,0.08358666718140761,0.0,0.005307306453182337,0.32416906437639437,0.0,0.0,0.05534897327077326,0.0,0.0,0.21808389464835698
2042,0.0,0.0,0.13409342794059942,0.0,0.050303252796991105,0.40416433945008023,0.0,0.0,0.0881631386689814,0.0,-0.009140923347592533,0.24842671811342765,0.0,0.0,0.0962087949713244,0.0,0.01061807352077948,0.34561604049251127,0.0,0.0,0.06500623695603491,0.0,0.0,0.22724568658764133
2043,0.0,0.0,0.14540118163765836,0.0,0.052243130805707416,0.4182315515628925,0.0,0.0,0.09600989435340934,0.0,-0.007751998805961446,0.25594493655323913,0.0,0.0,0.10969888423440222,0.0,0.015802195355540505,0.3674048916285442,0.0,0.0,0.0746770851034293,0.0,0.0,0.23611392197572623
2044,0.0,0.0,0.15720032485121194,0.0,0.05413239136287018,0.43229674622077163,0.0,0.0,0.10392143607725246,0.0,-0.006437777621729257,0.26333413564134966,0.0,0.0,0.12378979068543083,0.0,0.020429021675112846,0.3896254377161683,0.0,0.0,0.0842244315178502,0.0,0.0,0.245015898596753
2045,0.0,0.0,0.1693989014164723,0.0,0.05592628657462284,0.4460719016025656,0.0,0.0,0.11179216776885892,0.0,-0.005218296034775638,0.27043067865283144,0.0,0.0,0.1385601506499068,0.0,0.024946303192480368,0.41229843703323876,0.0,0.0,0.0934444309839666,0.0,0.0,0.2534059706335172
2046,0.0,0.0,0.18150563522908136,0.0,0.057619298022703935,0.4593842781561188,0.0,0.0,0.11929653983370891,0.0,-0.004076853137260805,0.27710685288103765,0.0,0.0,0.1537734349335318,0.0,0.029335791725373372,0.43517692026594523,0.0,0.0,0.10228524934796823,0.0,0.0,0.26132355530053397
2047,0.0,0.0,0.19296435857603722,0.0,0.059246421608512234,0.4716566794974477,0.0,0.0,0.12610098532251102,0.0,-0.00296995551350121,0.2830806391838605,0.0,0.0,0.1689433326113765,0.0,0.03361475534677383,0.4575793824522485,0.0,0.0,0.11037923229084279,0.0,0.0,0.2684284005595332
2048,0.0,0.0,0.20294747326717966,0.0,0.06075983412592989,0.4824838839506931,0.0,0.0,0.13176713627322,0.0,-0.0019773157287645837,0.28814272158929666,0.0,0.0,0.18321928724592462,0.0,0.03771186250794445,0.47886026279222316,0.0,0.0,0.11722736279092993,0.0,0.0,0.27443339212311546
2049,0.0,0.0,0.2096857554501632,0.0,0.06210050236490261,0.4906845064031,0.0,0.0,0.13544812793709626,0.0,-0.0011098863437295492,0.29182324960413486,0.0,0.0,0.19466341182429026,0.0,0.04153993173399573,0.4974328544946649,0.0,0.0,0.12189420443443177,0.0,0.0,0.2787645612054881
2050,0.0,0.0,0.21142115623166036,0.0,0.06879147782175132,0.5187214606022388,0.0,0.0,0.13641675708398404,0.0,0.0015583116276369768,0.29997217977729185,0.0,0.0,0.19748319814184767,0.0,0.04247081574236433,0.5000409685362817,0.0,0.0,0.12507382710841664,0.0,0.0,0.2833743031352518
