technology;registeration_year;stock_year;num_cars;sources;quality;date;modifier
tec_car;1988;2018;70841;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2001;1967741;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2002;1757262;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2003;1505978;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2004;1267281;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2005;1036085;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2006;857949;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2007;692758;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2008;389484;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2009;316174;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2010;248048;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2011;206293;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2012;177652;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2013;149479;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2014;131329;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2015;117255;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2016;108138;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2017;100609;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1989;2018;95171;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2001;2504559;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2002;2308159;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2003;2066568;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2004;1800571;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2005;1538075;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2006;1288106;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2007;1074111;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2008;605950;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2009;510154;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2010;376889;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2011;320734;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2012;263285;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2013;224836;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2014;188581;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2015;168311;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2016;150038;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2017;138274;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1990;2018;127771;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2001;3286122;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2002;3068311;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2003;2798361;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2004;2505149;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2005;2190074;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2006;1884881;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2007;1584974;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2008;950628;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2009;769709;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2010;591312;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2011;480955;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2012;405618;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2013;327405;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2014;279128;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2015;236702;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2016;211048;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2017;187845;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1991;2018;172523;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2001;3209173;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2002;3030908;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2003;2813758;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2004;2582096;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2005;2316619;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2006;2051733;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2007;1774993;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2008;1093737;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2009;929932;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2010;675375;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2011;574193;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2012;457988;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2013;382822;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2014;306105;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2015;264765;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2016;225121;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2017;201598;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1992;2018;179023;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2001;2752170;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2002;2633342;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2003;2485627;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2004;2327946;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2005;2141881;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2006;1958241;KBA.2017b;1;2019-02-26;D. Baumann
