alternative;year;attribute;attribute_level
tec_cv;2028;att_fuel_cost;9.48
tec_cv;2029;att_fuel_cost;9.38
tec_cv;2030;att_fuel_cost;9.3
tec_cv;2031;att_fuel_cost;9.21
tec_cv;2032;att_fuel_cost;9.14
tec_cv;2033;att_fuel_cost;9.06
tec_cv;2034;att_fuel_cost;9
tec_cv;2035;att_fuel_cost;8.94
tec_cv;2036;att_fuel_cost;8.88
tec_cv;2037;att_fuel_cost;8.84
tec_cv;2038;att_fuel_cost;8.8
tec_cv;2039;att_fuel_cost;8.76
tec_cv;2040;att_fuel_cost;8.73
tec_cv;2041;att_fuel_cost;8.71
tec_cv;2042;att_fuel_cost;8.7
tec_cv;2043;att_fuel_cost;8.69
tec_cv;2044;att_fuel_cost;8.69
tec_cv;2045;att_fuel_cost;8.7
tec_cv;2046;att_fuel_cost;8.72
tec_cv;2047;att_fuel_cost;8.74
tec_cv;2048;att_fuel_cost;8.78
tec_cv;2049;att_fuel_cost;8.82
tec_cv;2050;att_fuel_cost;8.87
tec_fcev;2018;att_fuel_cost;9.11
tec_fcev;2019;att_fuel_cost;8.92
tec_fcev;2020;att_fuel_cost;8.79
tec_fcev;2021;att_fuel_cost;8.67
tec_fcev;2022;att_fuel_cost;8.58
tec_fcev;2023;att_fuel_cost;8.5
tec_fcev;2024;att_fuel_cost;8.43
tec_fcev;2025;att_fuel_cost;8.36
tec_fcev;2026;att_fuel_cost;8.3
tec_fcev;2027;att_fuel_cost;8.25
tec_fcev;2028;att_fuel_cost;8.2
tec_fcev;2029;att_fuel_cost;8.16
tec_fcev;2030;att_fuel_cost;8.12
tec_fcev;2031;att_fuel_cost;8.08
tec_fcev;2032;att_fuel_cost;8.04
tec_fcev;2033;att_fuel_cost;8.01
tec_fcev;2034;att_fuel_cost;7.98
tec_fcev;2035;att_fuel_cost;7.95
tec_fcev;2036;att_fuel_cost;7.92
tec_fcev;2037;att_fuel_cost;7.89
tec_fcev;2038;att_fuel_cost;7.87
tec_fcev;2039;att_fuel_cost;7.84
tec_fcev;2040;att_fuel_cost;7.82
tec_fcev;2041;att_fuel_cost;7.8
tec_fcev;2042;att_fuel_cost;7.78
tec_fcev;2043;att_fuel_cost;7.76
tec_fcev;2044;att_fuel_cost;7.75
tec_fcev;2045;att_fuel_cost;7.73
tec_fcev;2046;att_fuel_cost;7.71
tec_fcev;2047;att_fuel_cost;7.7
tec_fcev;2048;att_fuel_cost;7.68
tec_fcev;2049;att_fuel_cost;7.67
tec_fcev;2050;att_fuel_cost;7.66
tec_bev;2018;att_infrast;strong_res
tec_bev;2019;att_infrast;strong_res
tec_bev;2020;att_infrast;strong_res
tec_bev;2021;att_infrast;strong_res
tec_bev;2022;att_infrast;strong_res
tec_bev;2023;att_infrast;strong_res
tec_bev;2024;att_infrast;strong_res
tec_bev;2025;att_infrast;strong_res
tec_bev;2026;att_infrast;strong_res
tec_bev;2027;att_infrast;strong_res
tec_bev;2028;att_infrast;strong_res
tec_bev;2029;att_infrast;strong_res
tec_bev;2030;att_infrast;strong_res
tec_bev;2031;att_infrast;with_res
tec_bev;2032;att_infrast;with_res
tec_bev;2033;att_infrast;with_res
tec_bev;2034;att_infrast;with_res
tec_bev;2035;att_infrast;with_res
tec_bev;2036;att_infrast;with_res
tec_bev;2037;att_infrast;with_res
tec_bev;2038;att_infrast;with_res
tec_bev;2039;att_infrast;with_res
tec_bev;2040;att_infrast;no_res
tec_bev;2041;att_infrast;no_res
tec_bev;2042;att_infrast;no_res
tec_bev;2043;att_infrast;no_res
tec_bev;2044;att_infrast;no_res
tec_bev;2045;att_infrast;no_res
tec_bev;2046;att_infrast;no_res
tec_bev;2047;att_infrast;no_res
tec_bev;2048;att_infrast;no_res
tec_bev;2049;att_infrast;no_res
tec_bev;2050;att_infrast;no_res
tec_fcev;2018;att_infrast;strong_res
tec_fcev;2019;att_infrast;strong_res
tec_fcev;2020;att_infrast;strong_res
tec_fcev;2021;att_infrast;strong_res
tec_fcev;2022;att_infrast;strong_res
tec_fcev;2023;att_infrast;strong_res
tec_fcev;2024;att_infrast;strong_res
tec_fcev;2025;att_infrast;strong_res
tec_fcev;2026;att_infrast;strong_res
tec_fcev;2027;att_infrast;strong_res
tec_fcev;2028;att_infrast;strong_res
tec_fcev;2029;att_infrast;strong_res
tec_fcev;2030;att_infrast;with_res
tec_fcev;2031;att_infrast;with_res
tec_fcev;2032;att_infrast;with_res
tec_fcev;2033;att_infrast;with_res
tec_fcev;2034;att_infrast;with_res
tec_fcev;2035;att_infrast;with_res
tec_fcev;2036;att_infrast;with_res
tec_fcev;2037;att_infrast;with_res
tec_fcev;2038;att_infrast;with_res
tec_fcev;2039;att_infrast;with_res
tec_fcev;2040;att_infrast;with_res
tec_fcev;2041;att_infrast;no_res
tec_fcev;2042;att_infrast;no_res
tec_fcev;2043;att_infrast;no_res
tec_fcev;2044;att_infrast;no_res
tec_fcev;2045;att_infrast;no_res
tec_fcev;2046;att_infrast;no_res
tec_fcev;2047;att_infrast;no_res
tec_fcev;2048;att_infrast;no_res
tec_fcev;2049;att_infrast;no_res
tec_fcev;2050;att_infrast;no_res
tec_bev;2018;att_range;369
tec_bev;2019;att_range;409
tec_bev;2020;att_range;439
tec_bev;2021;att_range;464
tec_bev;2022;att_range;485
tec_bev;2023;att_range;504
tec_bev;2024;att_range;520
tec_bev;2025;att_range;534
tec_bev;2026;att_range;548
tec_bev;2027;att_range;559
tec_bev;2028;att_range;570
tec_bev;2029;att_range;581
tec_bev;2030;att_range;590
tec_bev;2031;att_range;599
tec_bev;2032;att_range;607
tec_bev;2033;att_range;615
tec_bev;2034;att_range;623
tec_bev;2035;att_range;630
tec_bev;2036;att_range;636
tec_bev;2037;att_range;643
tec_bev;2038;att_range;649
tec_bev;2039;att_range;655
tec_bev;2040;att_range;660
tec_bev;2041;att_range;666
tec_bev;2042;att_range;671
tec_bev;2043;att_range;676
tec_bev;2044;att_range;681
tec_bev;2045;att_range;685
tec_bev;2046;att_range;690
tec_bev;2047;att_range;694
tec_bev;2048;att_range;698
tec_bev;2049;att_range;703
tec_bev;2050;att_range;706
tec_cv;2018;att_range;853
tec_cv;2019;att_range;853
tec_cv;2020;att_range;853
tec_cv;2021;att_range;853
tec_cv;2022;att_range;853
tec_cv;2023;att_range;853
tec_cv;2024;att_range;853
tec_cv;2025;att_range;853
tec_cv;2026;att_range;853
tec_cv;2027;att_range;853
tec_cv;2028;att_range;853
tec_cv;2029;att_range;853
tec_cv;2030;att_range;853
tec_cv;2031;att_range;853
tec_cv;2032;att_range;853
tec_cv;2033;att_range;853
tec_cv;2034;att_range;853
tec_cv;2035;att_range;853
tec_cv;2036;att_range;853
tec_cv;2037;att_range;853
tec_cv;2038;att_range;853
tec_cv;2039;att_range;853
tec_cv;2040;att_range;853
tec_cv;2041;att_range;853
tec_cv;2042;att_range;853
tec_cv;2043;att_range;853
tec_cv;2044;att_range;853
tec_cv;2045;att_range;853
tec_cv;2046;att_range;853
tec_cv;2047;att_range;853
tec_cv;2048;att_range;853
tec_cv;2049;att_range;853
tec_cv;2050;att_range;853
tec_fcev;2018;att_range;624
tec_fcev;2019;att_range;638
tec_fcev;2020;att_range;650
tec_fcev;2021;att_range;660
tec_fcev;2022;att_range;669
tec_fcev;2023;att_range;677
tec_fcev;2024;att_range;684
tec_fcev;2025;att_range;691
tec_fcev;2026;att_range;697
tec_fcev;2027;att_range;703
tec_fcev;2028;att_range;709
tec_fcev;2029;att_range;714
tec_fcev;2030;att_range;719
tec_fcev;2031;att_range;724
tec_fcev;2032;att_range;729
tec_fcev;2033;att_range;733
tec_fcev;2034;att_range;738
tec_fcev;2035;att_range;742
tec_fcev;2036;att_range;746
tec_fcev;2037;att_range;750
tec_fcev;2038;att_range;754
tec_fcev;2039;att_range;757
tec_fcev;2040;att_range;761
tec_fcev;2041;att_range;764
tec_fcev;2042;att_range;768
tec_fcev;2043;att_range;771
tec_fcev;2044;att_range;774
tec_fcev;2045;att_range;777
tec_fcev;2046;att_range;780
tec_fcev;2047;att_range;783
tec_fcev;2048;att_range;786
tec_fcev;2049;att_range;789
tec_fcev;2050;att_range;792
tec_bev;2018;att_v_type;BEV
tec_bev;2019;att_v_type;BEV
tec_bev;2020;att_v_type;BEV
tec_bev;2021;att_v_type;BEV
tec_bev;2022;att_v_type;BEV
tec_bev;2023;att_v_type;BEV
tec_bev;2024;att_v_type;BEV
tec_bev;2025;att_v_type;BEV
tec_bev;2026;att_v_type;BEV
tec_bev;2027;att_v_type;BEV
tec_bev;2028;att_v_type;BEV
tec_bev;2029;att_v_type;BEV
tec_bev;2030;att_v_type;BEV
tec_bev;2031;att_v_type;BEV
tec_bev;2032;att_v_type;BEV
tec_bev;2033;att_v_type;BEV
tec_bev;2034;att_v_type;BEV
tec_bev;2035;att_v_type;BEV
tec_bev;2036;att_v_type;BEV
tec_bev;2037;att_v_type;BEV
tec_bev;2038;att_v_type;BEV
tec_bev;2039;att_v_type;BEV
tec_bev;2040;att_v_type;BEV
tec_bev;2041;att_v_type;BEV
tec_bev;2042;att_v_type;BEV
tec_bev;2043;att_v_type;BEV
tec_bev;2044;att_v_type;BEV
tec_bev;2045;att_v_type;BEV
tec_bev;2046;att_v_type;BEV
tec_bev;2047;att_v_type;BEV
tec_bev;2048;att_v_type;BEV
tec_bev;2049;att_v_type;BEV
tec_bev;2050;att_v_type;BEV
tec_cv;2018;att_v_type;CV
tec_cv;2019;att_v_type;CV
tec_cv;2020;att_v_type;CV
tec_cv;2021;att_v_type;CV
tec_cv;2022;att_v_type;CV
tec_cv;2023;att_v_type;CV
tec_cv;2024;att_v_type;CV
tec_cv;2025;att_v_type;CV
tec_cv;2026;att_v_type;CV
tec_cv;2027;att_v_type;CV
tec_cv;2028;att_v_type;CV
tec_cv;2029;att_v_type;CV
tec_cv;2030;att_v_type;CV
tec_cv;2031;att_v_type;CV
tec_cv;2032;att_v_type;CV
tec_cv;2033;att_v_type;CV
tec_cv;2034;att_v_type;CV
tec_cv;2035;att_v_type;CV
tec_cv;2036;att_v_type;CV
tec_cv;2037;att_v_type;CV
tec_cv;2038;att_v_type;CV
tec_cv;2039;att_v_type;CV
tec_cv;2040;att_v_type;CV
tec_cv;2041;att_v_type;CV
tec_cv;2042;att_v_type;CV
tec_cv;2043;att_v_type;CV
tec_cv;2044;att_v_type;CV
tec_cv;2045;att_v_type;CV
tec_cv;2046;att_v_type;CV
tec_cv;2047;att_v_type;CV
